name,title,lobbyist_type,client,lobbyist_status,start_date,end_date,lobbyist_street_address_1,lobbyist_street_address_2,lobbyist_city,lobbyist_region,lobbyist_country,lobbyist_postal_code,client_street_address_1,client_street_address_2,client_city,client_region,client_country,client_postal_code,subject_matter_category,subject_matter_status,activity_description,public_office_holders
Phil Gillies,Executive Director,In-house,Ontario Construction Consortium,Active,2019-05-07,2020-05-07,"595 Bay Street, Suite 1202",,Toronto,ON,Canada,M5G 2C2,"595 Bay Street, Suite 1202",,Toronto,ON,Canada,M5G 2C2,By-law/Regulation,Expired,"Under the municipal download provision of the Province's recently-passed  Bill 66, the City of Hamilton must decide by the end of June 2019 whether to maintain it's contracts with the province's construction unions, or withdraw from those contracts and move to open shop tendering.

The Ontario Construction Consortium will be seeking to educate City officials regarding the advantages of staying under the umbrella of the existing contracts, and advocating for maintaining them.","[{'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}]"
Maurice Stevens,Vice President,In-house,Castlepoint Investments Inc.,Active,2019-04-24,2020-04-24,10710 Bathurst Street,,HaMaplemilton,ON,Canada,L6A4B6,10710 Bathurst Street,,Maple,ON,Canada,L6H2N5,Planning and Development - Official Plan,Expired,Land Development related issues,"[{'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}]"
Mark  Lewis,Legal Counsel,In-house,Carpenters' District Council of Ontario,Active,2019-01-01,2020-01-01,222 Rowntree Dairy Road,,Woodbridge,ON,Canada,L4L 9T2,222 Rowntree Dairy Road,,Hamilton,ON,Canada,L4L 9T2,Economic Development,Expired,"To discuss collective bargaining and Bill 66, Restoring Ontario's Competitiveness Act, 2019","[{'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}]"
Larry Di Ianni,Owner,Consultant,LDi Consulting,Active,2019-04-22,2020-04-22,21 King St. W,5th Floor,Hamilton,ON,Canada,L8P 4W7,552 Fifth Road East,,Hamilton,ON,Canada,L8J 3L4,Planning and Development - Official Plan,Expired,Permission to build home on their lot.,"[{'name': 'Clark, Brad', 'title': 'Councillor'}]"
Michael Cecchi,Customer Development Executive,In-house,"Iron Mountain Canada Operations, ULC",Active,2019-04-15,2020-04-15,195 Summerlea Road,,Hamilton,ON,Canada,L6T 4W4,195 Summerlea Road,,Brampton,ON,Canada,L6T 4P6,Procurement,Expired,"Iron Mountain provides services that may be of interest to the City of Hamilton. Iron Mountain employees will communicate with City of Hamilton public office holders in an attempt to influence decisions on contracts for services of the type offered by Iron Mountain, such as for information management and secure storage services, among others","[{'name': 'Zegarac, Mike', 'title': 'General Manager, Finance and Corporate Services'}]"
Serge Imbeault,"Vice-president, operations",In-house,"Iron Mountain Canada Operations,ULC",Active,2019-04-15,2020-04-15,195 Summerlea,,Brampton,ON,Canada,L6T 4P6,195 Summerlea Road,,Brampton,ON,Canada,L6T 4P6,Procurement,Expired,"Iron Mountain provides services that may be of interest to the City of Hamilton. Iron Mountain employees will communicate with City of Hamilton public office holders in an attempt to influence decisions on contracts for services of the type offered by Iron Mountain, such as for information management and secure storage services, among others","[{'name': 'Zegarac, Mike', 'title': 'General Manager, Finance and Corporate Services'}]"
Jared McDonald,Customer Relationship Associate,In-house,"Iron Mountain Canada Operations, ULC",Active,2019-04-15,2020-04-15,195 Summerlea Rd,,Brampton,ON,Canada,L6T 4P6,195 Summerlea Rd,,Brampton,ON,Canada,L6T 4P6,Procurement,Expired,"Iron Mountain provides services that may be of interest to the City of Hamilton. Iron Mountain employees will communicate with City of Hamilton public office holders in an attempt to influence decisions on contracts for services of the type offered by Iron Mountain, such as for information management and secure storage services, among others.","[{'name': 'Zegarac, Mike', 'title': 'General Manager, Finance and Corporate Services'}]"
Tracy Tabor,Manager Customer Success Program Canada,In-house,"Iron Mountain Canada Operation, ULC",Active,2019-04-15,2020-04-15,195 Summerlea Road,,HamiltonBrampton,ON,Canada,L6T 4P6,195 Summerlea Road,,Brampton,ON,Canada,L6T 4P6,Procurement,Expired,"Iron Mountain provides services that may be of interest to the City of Hamilton.  Iron  Mountain employees will communicate with City of Hamilton public office holders in an attempt to influence decisions on contracts for services of the type offered by Iron Mountain, such as for information management and secure storage services, among others.","[{'name': 'Zegarac, Mike', 'title': 'General Manager, Finance and Corporate Services'}]"
Kim Wright,Principal,Consultant,Wright Strategies,Active,2019-04-09,2020-04-09,1 Bloor Street East,Unit 5503,Toronto,ON,Canada,M4W 0A8,1342 Stone Church Rd East,,Hamilton,ON,Canada,L8W 2C8,Economic Development,Expired,Labour legislation,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Prince, Kristin', 'title': 'Administrative Assistant'}, {'name': 'Omazic, Drina', 'title': 'Chief of Staff'}, {'name': 'Ribaric, Robert', 'title': 'Administrative Assistant'}]"
Ian DeWaard,Provincial Director Ontario,In-house,Christian Labour Association of Canada,Active,2019-04-08,2020-04-08,45 Commerce Ct,,Cambridge,ON,Canada,N3C 4P7,45 Commerce Ct,,Cambridge,ON,Canada,N3C 4P7,Procurement,Expired,Fair and Open Tendering,"[{'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}]"
Larry Di Ianni,Owner,Consultant,LDi Consulting,Active,2019-03-25,2020-03-25,21 King St. W,5th Floor,Hamilton,ON,Canada,L8P 4W7,17-80 New Lakeshore Road,,Port Dover,ON,Canada,N0A 1N8,Planning and Development - Planning Policy,Expired,urban boundary Study,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}]"
Larry Di Ianni,Owner,Consultant,LDi Consulting,Active,2019-03-14,2020-03-14,21 King St. W,5th Floor,Hamilton,ON,Canada,L8P 4W7,"6205 Airport Rd, Suite 301",,Mississauga,ON,Canada,L4V 1E3,Economic Development,Expired,to advocate for support for TGOD application before Council,"[{'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}]"
Aleem Kanji,Vice President,Consultant,Sutherlancp Corp,Expired,2019-02-22,2020-02-22,8500 Leslie Street,,Markham,ON,Canada,L3T 7M8,1095-1321 Barton Street East.   Unit H9,,Hamilton,ON,Canada,L8L 3E2,Licences/Permits,Expired,Assisting with a business license and permit,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Cutler, Christopher', 'title': 'Community Relations and Advisor'}, {'name': 'Omazic, Drina', 'title': 'Chief of Staff'}, {'name': 'Kinnaird, Amanda', 'title': 'Communications and Media Relations'}]"
Kevin Whyte,"Director, Government Relations",Consultant,Sutherland Corp Ltd.,Active,2019-02-22,2020-02-22,"8500 Leslie Street, 390",390,Markham,ON,Canada,L3T 7M8,1085-1321 Barton Street East,Unit H9,Hamilton,ON,Canada,L8L 3E2,Licences/Permits,Expired,"Assisting Mr. Fry with setting up an OCS licenced, legal cannabis retail store in Hamilton.","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Cutler, Christopher', 'title': 'Community Relations and Advisor'}, {'name': 'Omazic, Drina', 'title': 'Chief of Staff'}, {'name': 'Kinnaird, Amanda', 'title': 'Communications and Media Relations'}]"
Manny Sousa,Vice President Stakeholder Relations,Consultant,Sutherland Corporation,Active,2019-02-12,2020-02-12,"8500 Leslie St., Suite 390",,Markham,ON,Canada,L3T 7M8,"399 Grande Cote, Suite 208",,Rosemare,QC,Canada,H4T 1V6,Transportation,Expired,To lobby the municipal government to mandate stop arm cameras on school buses in the City of Hamilton,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Cutler, Christopher', 'title': 'Community Relations and Advisor'}, {'name': 'Omazic, Drina', 'title': 'Chief of Staff'}]"
Brad Caco,"Senior Vice President, Development Eastern Canada",In-house,Bentall Kennedy (Canada) Limited Partnership,Active,2019-01-31,2020-01-31,"1 York Street, Suite 1100",,Toronto,ON,Canada,M5J 0B6,1100 - 1 York Street,,Toronto,ON,Canada,M5J 0B6,Planning and Development - Combined Application,Expired,"Matters relating to planning approvals for lands municipally known as 166-190 Main Street, Hamilton","[{'name': 'Farr, Jason', 'title': 'Councillor'}]"
Katherine  Rauscher,,In-house,LIV Communities,Active,2019-01-23,2020-01-23,1005 Skyview Dr,Suite 301,Burlington,ON,Canada,L7P 5B1,1005 Skyview Dr,Suite 301,Burlington,ON,Canada,L7P 5B1,Planning and Development - Combined Application,Expired,To discuss an active development application.,"[{'name': 'Ferguson, Lloyd', 'title': 'Councillor'}]"
Andrew Mulder,,In-house,LIV Communities,Active,2019-01-23,2020-01-23,1005 Skyview Dr,Suite 301,Burlington,ON,Canada,L7P 5B1,1005 Skyview Dr,Suite 301,Burlington,ON,Canada,L7P 5B1,Planning and Development - Combined Application,Expired,To discuss an active development application.,"[{'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}]"
Jeffrey Lizotte,CEO,In-house,Next Wave Brands,Active,2019-01-16,2020-01-16,50 Carroll St.,,Toronto,ON,Canada,M4M 3G3,1915 Jerseyville Rd,,Jerseyville,ON,Canada,L0R 1R0,Economic Development,Expired,Concerning the economic development potential of strictly regulated medical cannabis.,"[{'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}]"
Jeffrey Lizotte,CEO,In-house,Next Wave Brands,Active,2019-01-16,2019-11-01,50 Carroll St.,,Toronto,ON,Canada,M4M 3G3,1915 Jerseyville Road,,Jerseyville,ON,Canada,L0R 1R0,Economic Development,Expired,Concerning the economic development potential of strictly regulated medical cannabis.,"[{'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}]"
Larry Di Ianni,Owner,Consultant,LDi Consulting,Active,2018-12-10,2019-12-10,21 King St. W,5th Floor,Hamilton,ON,Canada,L8P 4W7,20 Cedarville Drive,,Stoney Creek,ON,Canada,L8J 0A4,By-law/Regulation,Expired,Cannabis legislation: Hamilton opting into the province's protocol.,"[{'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}]"
Larry Di Ianni,Owner,Consultant,LDi Consulting,Active,2018-12-07,2019-12-07,21 King St. W,5th Floor,Hamilton,ON,Canada,L8P 4W7,336 Kenora Ave,,Hamilton,ON,Canada,L8E2W2,Economic Development,Expired,Legal non conforming status exists. Development according to regs...wish to tie into city services.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}]"
Brett McDermott,Senior Consultant,Consultant,2Traverse,Active,2018-12-06,2019-12-06,15 Northtown Way,Suite 1325,Toronto,ON,Canada,M2N 7A2,246 Drewry Ave.,,Toronto,ON,Canada,M2M 1E5,Economic Development,Expired,To bring awareness to policy-makers and residents regarding issues related to the retail of cannabis in Hamilton.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}, {'name': 'Zegarac, Mike', 'title': 'General Manager, Finance and Corporate Services'}, {'name': 'Clark, Brad', 'title': 'Councillor'}]"
Alex Dagg,Public Policy Manager,In-house,Airbnb Canada Inc.,Active,2018-11-15,2019-11-15,Heritage Building,"101 College Street, Suite 440",Toronto,ON,Canada,M5G 1L7,Heritage Building,"101 College Street, Suite 440",Toronto,ON,Canada,M5G 1L7,Real Estate/Property,Expired,"Policies to support the new sharing economy, particularly policies related to home sharing.","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Omazic, Drina', 'title': 'Chief of Staff'}, {'name': 'Crone, Greg', 'title': 'Strategic Initiatives and Policy Advisor'}]"
Vasiliki Bednar,"Senior Associate, Public Policy",In-house,Airbnb Canada Inc.,Active,2018-11-13,2019-11-13,Heritage Building,"101 College Street, Suite 440",Toronto,ON,Canada,M5G 1L7,"101 College Street, Suite 440",Heritage Building,Toronto,ON,Canada,M5G 1L7,Real Estate/Property,Expired,"Communicating with the Government of Canada about policies related to the regulation of home sharing, specifically (i) fair and easy-to-follow rules, (ii) hotel/short term rental taxes, fees and registrations and (iii) zoning policies.","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}]"
Adam Blinick,Director of Public Policy & Communications,In-house,"Uber Technologies, Inc.",Active,2018-11-09,2019-11-09,"1209 King Street West, 200",,Toronto,ON,Canada,M4Y 0A6,"1209 King Street West, 200",,Toronto,ON,Canada,M4Y 0A6,Licences/Permits,Expired,Issues relating to the provision of smartphone applications to connect users with licensed transportation providers.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Scally, Maureen', 'title': 'Administrative Assistant'}, {'name': 'Johnson, Aidan', 'title': 'Councillor'}, {'name': 'Wojewoda-Patti , Nikola ', 'title': 'Administrative Assistant'}, {'name': 'Green, Matthew', 'title': 'Councillor'}, {'name': 'Piedimonte, Diane', 'title': 'Administrative Assistant'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Finelli, Lucy', 'title': 'Administrative Assistant'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'DiGiantomasso, Christine', 'title': 'Assistant'}, {'name': 'Skelly, Donna', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Wicken, Colleen', 'title': 'Executive Assistant'}, {'name': 'Ceric, Maryana', 'title': 'Administrative Assistant'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Dinney, Kathy', 'title': 'Executive Assistant'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Litzen, Julie', 'title': 'Administrative Assistant'}, {'name': 'Cecchetti, Lynne', 'title': 'Administrative Assistant'}, {'name': 'Pasuta, Robert', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Morrison, Alison', 'title': 'Assistant'}]"
Morva Rohani,Senior Public Policy Associate,In-house,"Uber Technologies, Inc.",Active,2018-11-08,2019-11-08,"1209 King Street West, 200",,Toronto,ON,Canada,M4Y 0A6,"1209 King Street West, 200",,Toronto,ON,Canada,M4Y 0A6,Licences/Permits,Expired,Issues relating to the provision of smartphone applications to connect users with licensed transportation providers.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Scally, Maureen', 'title': 'Administrative Assistant'}, {'name': 'Johnson, Aidan', 'title': 'Councillor'}, {'name': 'Wojewoda-Patti , Nikola ', 'title': 'Administrative Assistant'}, {'name': 'Green, Matthew', 'title': 'Councillor'}, {'name': 'Piedimonte, Diane', 'title': 'Administrative Assistant'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Finelli, Lucy', 'title': 'Administrative Assistant'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'DiGiantomasso, Christine', 'title': 'Assistant'}, {'name': 'Skelly, Donna', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Wicken, Colleen', 'title': 'Executive Assistant'}, {'name': 'Ceric, Maryana', 'title': 'Administrative Assistant'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Dinney, Kathy', 'title': 'Executive Assistant'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Litzen, Julie', 'title': 'Administrative Assistant'}, {'name': 'Cecchetti, Lynne', 'title': 'Administrative Assistant'}, {'name': 'Pasuta, Robert', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Morrison, Alison', 'title': 'Assistant'}]"
Chris Schafer,Senior Public Policy Manager,In-house,"Uber Technologies, Inc.",Active,2018-11-08,2019-11-08,"1455 Market Street, 4th Floor",,San Francisco,CA,United States,L8P 4Y5,"1455 Market Street, 4th Floor",,San Francisco,CA,United States,L8P 4Y5,Licences/Permits,Expired,Issues relating to the provision of smartphone applications to connect users with licensed transportation providers.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Scally, Maureen', 'title': 'Administrative Assistant'}, {'name': 'Johnson, Aidan', 'title': 'Councillor'}, {'name': 'Wojewoda-Patti , Nikola ', 'title': 'Administrative Assistant'}, {'name': 'Green, Matthew', 'title': 'Councillor'}, {'name': 'Piedimonte, Diane', 'title': 'Administrative Assistant'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Finelli, Lucy', 'title': 'Administrative Assistant'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'DiGiantomasso, Christine', 'title': 'Assistant'}, {'name': 'Skelly, Donna', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Wicken, Colleen', 'title': 'Executive Assistant'}, {'name': 'Ceric, Maryana', 'title': 'Administrative Assistant'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Dinney, Kathy', 'title': 'Executive Assistant'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Litzen, Julie', 'title': 'Administrative Assistant'}, {'name': 'Cecchetti, Lynne', 'title': 'Administrative Assistant'}, {'name': 'Pasuta, Robert', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Morrison, Alison', 'title': 'Assistant'}]"
Vasiliki Bednar,"Senior Associate, Public Policy",In-house,Airbnb Canada Inc.,Active,2018-11-08,2019-11-08,Heritage Building,"101 College Street, Suite 440",Toronto,ON,Canada,M5G 1L7,Heritage Building,"101 College Street, Suite 440",Toronto,ON,Canada,M5G 1L7,Real Estate/Property,Expired,"Policies to support the new sharing economy, particularly policies related to home sharing.","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}]"
Kim Wright,"Vice President, Public Affairs",In-house,Hill + Knowlton Strategies,Active,2018-10-29,2019-10-29,160 Bloor Street East,Unit 800,Toronto,ON,Canada,M4W3P7,11514 Jasper Avenue,,Edmonton,AB,Canada,T5K 0M8,Economic Development,Expired,Issues relating to potential retail cannabis in Hamilton,"[{'name': 'Zegarac, Mike', 'title': 'General Manager, Finance and Corporate Services'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}]"
Kevin Whyte,"Director, Government Relations",Consultant,Sutherland Corp Ltd.,Active,2018-10-16,2019-10-16,"8500 Leslie Street, 390",390,Markham,ON,Canada,L3T 7M8,"399 Grande Côte, suite 208",,Rosemère,QC,Canada,J7A 1K8,Transportation,Expired,Looking to bring a technology company that focuses on school bus safety to Hamilton through the assistance of the Mayor's office.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Cutler, Christopher', 'title': 'Community Relations and Advisor'}, {'name': 'Kinnaird, Amanda', 'title': 'Communications and Media Relations'}, {'name': 'Omazic, Drina', 'title': 'Chief of Staff'}]"
Kevin Whyte,"Director, Government Relations",Consultant,Sutherland Corp Ltd.,Active,2018-10-12,2019-10-12,"8500 Leslie Street, 390",390,Markham,ON,Canada,L3T 7M8,"399 Grande Côte, suite 208",,Rosemère,QC,Canada,J7A 1K8,Transportation,Expired,Looking to bring a technology company focused on school bus safety to the City of Hamilton with the assistance of the Mayor's office.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Omazic, Drina', 'title': 'Chief of Staff'}, {'name': 'Cutler, Christopher', 'title': 'Community Relations and Advisor'}, {'name': 'Kinnaird, Amanda', 'title': 'Communications and Media Relations'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}]"
